,score,variable
87,0.6143408243511944,"['V12', 'V5', 'V22', 'V7', 'V8', 'V4', 'V26', 'V30', 'V27', 'V14', 'V21', 'V2', 'V29', 'V6', 'V15', 'V23', 'V10', 'V20', 'V28', 'V19']"
88,0.7128069968572724,"['V15', 'V13', 'V26', 'V2', 'V30', 'V14', 'V17', 'V9', 'V11', 'V18', 'V24', 'V20', 'V25', 'V28', 'V12', 'V8', 'V6', 'V5', 'V21', 'V22']"
89,0.5815187668491684,"['V2', 'V28', 'V27', 'V30', 'V4', 'V16', 'V11', 'V1', 'V7', 'V26', 'V23', 'V8', 'V14', 'V22', 'V18', 'V15', 'V13', 'V10', 'V25', 'V24']"
90,0.6307518531022074,"['V1', 'V25', 'V14', 'V28', 'V6', 'V10', 'V29', 'V15', 'V21', 'V7', 'V16', 'V12', 'V18', 'V3', 'V30', 'V24', 'V17', 'V27', 'V19', 'V26']"
91,0.4994636230941034,"['V4', 'V24', 'V10', 'V27', 'V25', 'V19', 'V12', 'V9', 'V2', 'V21', 'V23', 'V1', 'V8', 'V15', 'V5', 'V7', 'V29', 'V28', 'V14', 'V18']"
92,0.6307518531022074,"['V4', 'V6', 'V20', 'V13', 'V12', 'V15', 'V16', 'V28', 'V26', 'V27', 'V3', 'V1', 'V10', 'V11', 'V22', 'V2', 'V18', 'V17', 'V30', 'V8']"
93,0.7292180256082854,"['V8', 'V21', 'V24', 'V22', 'V14', 'V26', 'V18', 'V10', 'V13', 'V17', 'V4', 'V20', 'V1', 'V6', 'V9', 'V3', 'V15', 'V16', 'V12', 'V2']"
94,0.7128069968572724,"['V18', 'V23', 'V14', 'V8', 'V15', 'V21', 'V2', 'V19', 'V20', 'V3', 'V24', 'V22', 'V1', 'V11', 'V16', 'V30', 'V26', 'V27', 'V4', 'V17']"
95,0.5486967093471424,"['V28', 'V2', 'V18', 'V6', 'V26', 'V4', 'V15', 'V30', 'V24', 'V5', 'V8', 'V10', 'V7', 'V22', 'V21', 'V9', 'V3', 'V13', 'V1', 'V27']"
96,0.5828936878634403,"['V16', 'V9', 'V6', 'V23', 'V27', 'V28', 'V10', 'V25', 'V13', 'V8', 'V26', 'V19', 'V11', 'V17', 'V30', 'V15', 'V3', 'V7', 'V18', 'V20']"
97,0.7128069968572724,"['V16', 'V5', 'V19', 'V2', 'V6', 'V3', 'V13', 'V9', 'V22', 'V21', 'V26', 'V18', 'V17', 'V12', 'V24', 'V30', 'V20', 'V4', 'V10', 'V28']"
98,0.6471628818532205,"['V29', 'V1', 'V18', 'V22', 'V13', 'V14', 'V24', 'V19', 'V7', 'V11', 'V9', 'V21', 'V26', 'V28', 'V12', 'V8', 'V30', 'V17', 'V27', 'V4']"
99,0.5322856805961294,"['V8', 'V21', 'V1', 'V23', 'V4', 'V6', 'V16', 'V13', 'V24', 'V20', 'V29', 'V7', 'V28', 'V26', 'V2', 'V5', 'V15', 'V11', 'V14', 'V9']"
